tenor,cum_pnl,ann_return,ann_vol,sharpe
1W,6023922.726187344,0.05000550443488531,0.007439742209072018,6.72140284295182
2W,4178265.3829816687,0.04614551925255188,0.006896565393685594,6.691087029320728
3W,3751943.524120691,0.049362264537390406,0.007101053298136324,6.951400371878009
1M,3442667.1571360393,0.05392395953677194,0.009419145415863927,5.724931207235855
2M,3800486.616809688,0.10961665383152969,0.03081659832838215,3.5570653406794914
3M,4398716.019102999,0.12888354644040034,0.041074687555448026,3.1377851935310854
4M,4780190.197322937,0.13419382671278035,0.07065551053363404,1.8992690831792978
6M,5407552.055004268,0.21949190056632803,0.1498065840171066,1.4651685839206106
9M,6117661.826994707,0.2483154309905857,0.16596109547156765,1.4962267529327495
1Y,0.0,0.0,0.0,0.0
