tenor,cum_pnl,ann_return,ann_vol,sharpe
1W,973994.7944198736,0.06694557559308426,0.010128810531461863,6.609421252884488
2W,1097771.2764081496,0.08673655635809153,0.011090718770114411,7.820643382628732
3W,1563460.1027735316,0.08616402325863154,0.013180474794859053,6.537247299485689
1M,1195783.9924480263,0.09835484351906644,0.021197898293493046,4.639839391495602
2M,640422.3021008237,0.12878439027638897,0.04156197254631896,3.0986111194040302
3M,722430.027131129,0.1595118241068276,0.04734203864074475,3.3693484413986416
4M,911571.1607729698,0.20916551366474445,0.08075179983797195,2.59022726532949
6M,1049528.2173482364,0.2650579769765601,0.2059701039873388,1.2868759681397912
9M,1385470.781963,0.3499015657976053,0.30440174508996554,1.1494729299077846
1Y,0.0,0.0,0.0,0.0
