trade_id,pair,tenor,delta,strike,option_type,notional,direction,entry_date,expiry_date,entry_vol,sabr_vol,vol_edge,entry_price,premium,domestic_rate,foreign_rate,spot_entry,forward,hedged,hedge_size,hedge_cost,exit_price,pnl,premium_net_received,last_mark,hedge_last_mark,hedge_entry_spot,entry_cost,first_mtm_done
0,EURJPY,1W,0.1,162.09392488545592,put,178.2895398102157,-1,2019-09-02,2019-09-09,1.7026,0.30277780586206415,1.3998221941379358,46.740450069050254,8333.333333333334,0.00042093120126562855,-0.002711215349806678,116.53,116.537,True,-178.15265919318713,2.072859161724296,43.62392488545592,29.020271477980657,8202.5,-7777.689492543353,-21105.74553461688,116.26,130.83333333333334,False
1,XAUUSD,1W,0.9,1213.1871610160385,call,25.137970772057685,-1,2019-09-02,2019-09-09,1.4124999999999999,0.13305922492268876,1.2794407750773111,331.5038198149358,8333.333333333334,0.00042093120126562855,0.00042093120126562855,1529.29,1529.29,True,24.92908683973585,3.853222438630783,285.94283898396156,-185.2242469987773,8202.5,-7188.022728858023,37371.9419540532,1547.1,130.83333333333334,False
2,XAUUSD,1W,0.1,1984.77352150863,put,17.799138274607664,-1,2019-09-02,2019-09-09,1.36785,0.1377195239716341,1.230130476028366,468.1874596829054,8333.333333333334,0.00042093120126562855,0.00042093120126562855,1529.29,1529.29,True,-17.777087792121115,2.7470911902600266,485.6435215086299,408.4836186982817,8202.5,-8644.036191499505,-26650.16562180253,1547.1,130.83333333333334,False
27,EURJPY,1W,0.1,163.5228096981298,put,171.79687649214227,-1,2019-09-03,2019-09-10,1.7553,0.30855959630252777,1.4467404036974723,48.47022396613825,8327.033080257128,0.00042093120126562855,-0.0024942511243327805,116.26,116.26650000000001,True,-171.79768887767202,2.0173071738873705,44.7628096981298,270.5256076986964,8196.298660897091,-7690.110889150874,-20402.69353111233,117.4,130.7344193600369,False
28,XAUUSD,1W,0.9,1223.6667750973488,call,24.545306844756983,-1,2019-09-03,2019-09-10,1.4323249999999998,0.13415434946381438,1.2981706505361854,339.25153728668215,8327.033080257128,0.00042093120126562855,0.00042093120126562855,1547.1,1547.1,True,24.52579600989523,3.829900492046696,262.11322490265115,121.23182751997115,8196.298660897091,-6433.6495333043695,36439.93719558213,1552.55,130.7344193600369,False
29,GBPJPY,1W,0.9,101.83415882428986,call,303.77997456797493,-1,2019-09-03,2019-09-10,1.3922500000000002,0.14547696001631175,1.2467730399836885,27.411395672474917,8327.033080257128,0.00042093120126562855,0.009465312986366126,127.999,127.9768,True,303.77021843267147,3.9616551162574005,30.99084117571013,-468.40602648508286,8196.298660897091,-9414.396944197373,40348.279263319586,130.344,130.7344193600369,False
54,USDJPY,1W,0.1,142.23572463586322,put,225.7709464130193,-1,2019-09-04,2019-09-11,1.5147499999999998,0.2880917348485674,1.2266582651514324,36.86507103531563,8323.061977226394,0.00040591904137798895,0.024328798931169824,106.39,106.3412,True,-225.7495848677988,2.465515555334038,34.41572463586323,221.19403141623934,8192.38990418394,-7770.070722528704,-24340.320240446064,106.94,130.67207304245437,False
55,XAUUSD,1W,0.9,1245.45463121526,call,25.86035012837657,-1,2019-09-04,2019-09-11,1.338675,0.12838177884288376,1.2102932211571162,321.846453582757,8323.061977226394,0.00040591904137798895,0.00040591904137798895,1552.55,1552.55,True,25.784649116908316,3.984870544147482,251.7453687847401,1114.7870704646875,8192.38990418394,-6510.22337997066,38604.77665783513,1519.05,130.67207304245437,False
56,EURJPY,1W,0.1,155.58862919476283,put,212.19038364205724,-1,2019-09-04,2019-09-11,1.4698250000000002,0.2771580293566136,1.1926669706433866,39.22450129156899,8323.061977226394,0.00040591904137798895,-0.002436544245801805,117.4,117.4064,True,-212.18704637760675,2.504456284210516,36.86862919476283,216.06407177815188,8192.38990418394,-7823.168573193478,-25190.846145949472,118.01,130.67207304245437,False
81,NZDJPY,1W,0.1,94.07167111138602,put,312.8678435881859,-1,2019-09-05,2019-09-12,1.667475,0.33544395574023295,1.3320310442597671,26.617814383747618,8327.858187273714,0.0004121646352217567,0.015104087193956799,68.152,68.1328,True,-312.84766092682173,2.1576035532463984,24.830671111386025,214.12397060507593,8197.110813733516,-7768.718525466809,-21661.884890234065,68.563,130.7473735401973,False
82,USDJPY,1W,0.1,141.31076619453682,put,235.49638739323717,-1,2019-09-05,2019-09-12,1.4581,0.28154666510227416,1.1765533348977257,35.362997621562954,8327.858187273714,0.0004121646352217567,0.024943703169507638,106.94,106.8897,True,-235.4734346362778,2.518283117418446,33.21076619453683,95.71841637042047,8197.110813733516,-7821.015461374871,-25454.678284181628,106.92,130.7473735401973,False
83,EURJPY,1W,0.1,154.39874697899208,put,222.7431952590515,-1,2019-09-05,2019-09-12,1.407075,0.26998292483139225,1.1370920751686078,37.3877108909584,8327.858187273714,0.0004121646352217567,-0.002857431547112582,118.01,118.01740000000001,True,-222.7252848334901,2.626379378933525,34.78874697899208,62.44028328160874,8197.110813733516,-7748.956661159371,-26640.17131893375,117.89,130.7473735401973,False
