date,theta_pnl_est
2019-09-02,766.764181568081
2019-09-03,1370.8455184011316
2019-09-04,1859.3008350343223
2019-09-05,2487.9310972341777
2019-09-06,3216.3411290231134
2019-09-09,3149.5282589286376
2019-09-10,3708.3757562805426
2019-09-11,4065.5447590762474
2019-09-12,4387.227075393107
2019-09-13,4733.906959731839
2019-09-16,4955.224516025634
2019-09-17,5514.160254102162
2019-09-18,5788.923042199958
2019-09-19,5516.294097606591
2019-09-20,4906.50981101657
2019-09-23,5450.38900654166
2019-09-24,5162.981645725912
2019-09-25,4989.196838006552
2019-09-26,5184.910042732803
2019-09-27,5401.562332199805
2019-09-30,5226.239400245527
2019-10-01,5112.809641388802
2019-10-02,5731.4746813186475
2019-10-03,5300.571719132748
2019-10-04,4896.477584934167
2019-10-07,5147.884312838701
2019-10-08,5034.6301932800725
2019-10-09,4999.354597231364
2019-10-10,4915.633650347302
2019-10-11,4851.146152836386
2019-10-14,4981.614444067518
2019-10-15,4952.476617575693
2019-10-16,4809.977903793089
2019-10-17,4441.852402385763
2019-10-18,4375.382021278356
2019-10-21,4992.527041752362
2019-10-22,4770.463790862945
2019-10-23,4552.950013060264
2019-10-24,4363.94710282551
2019-10-25,4299.779095736826
2019-10-28,4289.959492173694
2019-10-29,3898.3550933924166
2019-10-30,3984.0284836463725
2019-10-31,3722.5440543093655
2019-11-01,3498.9741260444052
2019-11-04,4180.319731563521
2019-11-05,4136.486894351495
2019-11-06,4010.1022875002927
2019-11-07,4119.258203301892
2019-11-08,3927.6429511257816
2019-11-11,4706.506376814825
2019-11-12,4460.614527882606
2019-11-13,4322.877489169971
2019-11-14,4376.320430831116
2019-11-15,4294.6730724727995
2019-11-18,4238.015861921917
2019-11-19,4113.050491266579
2019-11-20,4051.195230790335
2019-11-21,3967.0078616393184
2019-11-22,3801.3701756266023
2019-11-25,3718.6916310605384
2019-11-26,3698.32286463311
2019-11-27,3683.405931150091
2019-11-28,3609.609658411616
2019-11-29,3452.334909292518
2019-12-02,3953.9923200469884
2019-12-03,3628.625555425777
2019-12-04,3683.8871239949844
2019-12-05,3549.200073923478
2019-12-06,3427.867224250213
2019-12-09,3890.9134523611997
2019-12-10,3850.8392471379834
2019-12-11,3659.374752184185
2019-12-12,3910.506049796353
2019-12-13,3666.730514724718
2019-12-16,4366.122062664073
2019-12-17,4336.363424549759
2019-12-18,4335.600759831522
2019-12-19,4236.513018549391
2019-12-20,4143.123022618064
2019-12-23,4227.2826089612445
2019-12-24,4048.83711306525
2019-12-25,4160.217810362139
2019-12-26,4093.8710528168376
2019-12-27,4011.29625880596
2019-12-30,3791.317939529845
2019-12-31,3720.6572820132064
2020-01-01,4189.22004223775
2020-01-02,3920.0303753679286
2020-01-03,3853.1282521242074
2020-01-06,3757.952191008756
2020-01-07,3593.3148618341966
2020-01-08,3843.7078135036086
2020-01-09,3683.310711811087
2020-01-10,3585.731617005162
2020-01-13,3390.609151216376
2020-01-14,3749.4879770565403
2020-01-15,3692.3769914709305
2020-01-16,3643.9118984472575
2020-01-17,3557.721240859765
2020-01-20,3394.6008803940085
2020-01-21,3916.522433571028
2020-01-22,3657.771320425446
2020-01-23,3755.0438824428666
2020-01-24,3687.118445903162
2020-01-27,3586.858326360639
2020-01-28,3559.995914540812
2020-01-29,3488.311041538457
2020-01-30,3454.1676338823227
2020-01-31,3806.969110367677
2020-02-03,3835.276430555956
2020-02-04,3705.547141411948
2020-02-05,3588.035067656293
2020-02-06,3507.429544218922
2020-02-07,3512.929753260046
2020-02-10,3925.18426643581
2020-02-11,3956.2605293406036
2020-02-12,3765.0404505239753
2020-02-13,3865.1995450081868
2020-02-14,3835.0834312893608
2020-02-17,3817.539144335268
2020-02-18,3746.5125133094125
2020-02-19,3692.62746923673
2020-02-20,4019.3302001011584
2020-02-21,4136.040056465261
2020-02-24,4032.54320184039
2020-02-25,4069.7034931829426
2020-02-26,3853.1359473999373
2020-02-27,4010.484813295154
2020-02-28,4190.696526283962
2020-03-02,4264.039318132905
2020-03-03,4145.211055408162
2020-03-04,4155.14988244827
2020-03-05,4460.844889539242
2020-03-06,4294.725438014481
2020-03-09,5340.2616566306715
2020-03-10,5115.710972729184
2020-03-11,5270.506284316296
2020-03-12,5548.0846868231165
2020-03-13,4117.251410378515
2020-03-16,6482.750009251865
2020-03-17,4991.6055979504645
2020-03-18,1675.7112253473774
2020-03-19,1758.8727956141688
2020-03-20,750.6235766059654
2020-03-23,3090.4355661612817
2020-03-24,2121.038359731294
2020-03-25,1643.363171080599
2020-03-26,2923.5853441232566
2020-03-27,1206.230903552277
2020-03-30,2605.954040057608
2020-03-31,2923.894834439031
2020-04-01,3060.76031879964
2020-04-02,4022.70869589583
2020-04-03,3752.2200328993936
2020-04-06,3277.649591515694
2020-04-07,3351.5595287690758
2020-04-08,3400.8383976696296
2020-04-09,3211.4435241310953
2020-04-10,3233.203880481766
2020-04-13,3765.4339632915016
2020-04-14,3523.8484077048406
2020-04-15,3835.4933539432427
2020-04-16,3452.3756266298697
2020-04-17,5506.861872491433
2020-04-20,5823.978282581107
2020-04-21,6808.291974166523
2020-04-22,6796.103505288711
2020-04-23,5626.818103040279
2020-04-24,5581.328711982451
2020-04-27,5360.045234703253
2020-04-28,5017.818413678552
2020-04-29,5105.7264428997405
2020-04-30,5038.118092923914
2020-05-01,5124.525612752953
2020-05-04,6246.92567977405
2020-05-05,5847.444009596618
2020-05-06,5876.866448698781
2020-05-07,5686.662290542238
2020-05-08,5427.451202841518
2020-05-11,4957.576777493933
2020-05-12,5841.597055604368
2020-05-13,5830.717115366478
2020-05-14,5789.732220213614
2020-05-15,5645.306891750186
2020-05-18,4949.614242588872
2020-05-19,4881.777479672082
2020-05-20,4786.183705209983
2020-05-21,6125.519931401621
2020-05-22,5922.182950224494
2020-05-25,5793.271859210372
2020-05-26,5692.7927249132845
2020-05-27,5521.037677368329
2020-05-28,5044.322765546563
2020-05-29,4706.970124990499
2020-06-01,5512.639110273697
2020-06-02,5362.913866345466
2020-06-03,5310.918286715742
2020-06-04,5077.905309152818
2020-06-05,5733.681828851857
2020-06-08,5304.199143140434
2020-06-09,5312.099726600363
2020-06-10,5066.663915265924
2020-06-11,6203.6740823190885
2020-06-12,5670.553481565918
2020-06-15,6430.728942109555
2020-06-16,6540.833099760455
2020-06-17,6474.932001404481
2020-06-18,6548.493311039576
2020-06-19,6157.013235284985
2020-06-22,6281.441199944111
2020-06-23,6215.055805956373
2020-06-24,6222.914902844995
2020-06-25,6277.159421325481
2020-06-26,5853.044748203033
2020-06-29,6639.474899070264
2020-06-30,6404.015859148288
2020-07-01,6200.645014905575
2020-07-02,6126.1177655455185
2020-07-03,5968.598838764594
2020-07-06,6302.762094431337
2020-07-07,5958.486808917854
2020-07-08,5874.6853072172735
2020-07-09,5870.884669835998
2020-07-10,5726.786209785518
2020-07-13,6300.80013857761
2020-07-14,6120.164036394423
2020-07-15,6117.245239343875
2020-07-16,6099.210788213949
2020-07-17,5863.109128921157
2020-07-20,6583.264232731447
2020-07-21,6139.904824518687
2020-07-22,5262.482010512987
2020-07-23,5141.18529322384
2020-07-24,5159.723664351611
2020-07-27,3271.2431930326907
2020-07-28,3318.1275206024943
2020-07-29,3853.2571669197996
2020-07-30,3958.9825305864524
2020-07-31,3954.31845974012
2020-08-03,3874.679416285108
2020-08-04,3651.3248365890645
2020-08-05,4690.799651635877
2020-08-06,4836.220444265556
2020-08-07,4841.158528129699
2020-08-10,4631.695110857221
2020-08-11,4666.316046176245
2020-08-12,5417.087637631877
2020-08-13,5263.437605227023
2020-08-14,5291.8681732629375
2020-08-17,5002.303038427148
2020-08-18,4974.091970178804
2020-08-19,6146.72373380864
2020-08-20,6335.067333263208
2020-08-21,6223.412124593119
2020-08-24,6301.434173494674
2020-08-25,6193.216493975531
2020-08-26,5708.054804671926
2020-08-27,5544.4760144713755
2020-08-28,5440.8558122710565
2020-08-31,6231.835979689558
2020-09-01,6060.237431353078
2020-09-02,5964.739331204101
2020-09-03,6047.059393438682
2020-09-04,5929.834116103493
2020-09-07,6729.657561196305
2020-09-08,7222.109943570777
2020-09-09,6526.128134851121
2020-09-10,6730.987433025048
2020-09-11,6145.974538292988
2020-09-14,6632.072817463319
2020-09-15,6705.42335559762
2020-09-16,6813.343238128918
2020-09-17,6708.7128939168515
2020-09-18,6592.138599712207
2020-09-21,6942.905120350177
2020-09-22,7273.78370499642
2020-09-23,7346.8782475984035
2020-09-24,6931.455319706122
2020-09-25,7214.395984478899
2020-09-28,7935.633127781977
2020-09-29,7700.311222302664
2020-09-30,7418.999212215196
2020-10-01,7544.679942772381
2020-10-02,7782.308347663372
2020-10-05,8150.901826447467
